Month,MRR_Actual,ARR_Actual,Revenue_Actual,COGS_Actual,Sales & Marketing_Actual,R&D_Actual,G&A_Actual,OpEx_Actual,EBITDA_Actual,EBITDA Margin_Actual,Gross Margin %_Actual,CAC_Actual,LTV_Actual,Churn Rate_Actual,Rule of 40_Actual,YoY Growth_Actual
2024-09,120000,1440000,180000,72000,35000,18000,22000,75000,33000,0.183,0.6,1500,9000,0.018,,0.22
2024-10,124000,1488000,186000,74400,36000,18500,22500,77000,34500,0.185,0.6,1450,9100,0.017,,0.23
2024-11,126000,1512000,190000,76000,36500,19000,23000,78500,35600,0.187,0.6,1460,9150,0.019,,0.24
2024-12,132000,1584000,198000,79200,38000,19500,23500,81000,37800,0.191,0.6,1440,9200,0.016,,0.25
2025-01,136000,1632000,205000,82000,39000,20000,24000,83000,40000,0.195,0.6,1430,9300,0.016,,0.26
2025-02,148000,1776000,220000,86000,40000,21000,24500,85500,48500,0.220,0.609,1420,9400,0.015,,0.27
2025-03,150000,1800000,225000,88000,40500,21500,25000,87000,51000,0.227,0.609,1400,9500,0.015,,0.28
2025-04,150500,1806000,226000,88200,40800,21600,25200,87600,50300,0.222,0.609,1390,9550,0.014,,0.28
2025-05,159000,1908000,238000,91000,42000,22000,26000,90000,57000,0.239,0.618,1380,9650,0.014,,0.29
2025-06,162000,1944000,242000,92000,42500,22500,26500,91500,58500,0.242,0.620,1370,9700,0.013,,0.30
2025-07,171000,2052000,255000,96000,44000,23000,27000,94000,61000,0.239,0.624,1360,9800,0.012,,0.30
2025-08,182000,2184000,270000,101000,46000,23500,27500,97000,72000,0.267,0.626,1350,9950,0.012,,0.31
