Month,MRR_Budget,ARR_Budget,Revenue_Budget,COGS_Budget,Sales & Marketing_Budget,R&D_Budget,G&A_Budget,OpEx_Budget,EBITDA_Budget,EBITDA Margin_Budget,Gross Margin %_Budget,CAC_Budget,LTV_Budget,Churn Rate_Budget,Rule of 40_Budget,YoY Growth_Budget
2024-09,118000,1416000,178000,71200,36000,17500,21500,75000,31800,0.179,0.6,1600,8800,0.018,,0.21
2024-10,122000,1464000,184000,73600,37000,18000,22000,77000,34000,0.185,0.6,1550,8900,0.017,,0.22
2024-11,125000,1500000,188000,75200,37000,18500,22500,78000,35200,0.187,0.6,1500,9000,0.018,,0.23
2024-12,130000,1560000,196000,78400,38500,19000,23000,80500,35600,0.182,0.6,1480,9100,0.017,,0.24
2025-01,134000,1608000,202000,80800,39500,19500,23500,82500,39200,0.194,0.6,1470,9200,0.016,,0.25
2025-02,145000,1740000,218000,86000,40500,20500,24000,85000,47000,0.216,0.606,1460,9300,0.015,,0.26
2025-03,148000,1776000,222000,87200,41000,21000,25000,87000,50000,0.225,0.607,1450,9400,0.015,,0.27
2025-04,149000,1788000,224000,88000,41200,21200,25200,87600,50400,0.225,0.607,1440,9500,0.014,,0.28
2025-05,156000,1872000,234000,90000,42000,22000,26000,90000,54000,0.231,0.615,1430,9600,0.014,,0.29
2025-06,160000,1920000,240000,91200,43000,22500,26500,92000,56000,0.233,0.620,1420,9700,0.013,,0.30
2025-07,168000,2016000,252000,96000,44000,23000,27000,94000,58000,0.230,0.620,1410,9800,0.012,,0.30
2025-08,176000,2112000,264000,100000,45500,23500,27500,96500,64500,0.244,0.621,1400,9900,0.012,,0.31
